Date,Opponent,Location,Spread,ATS,Total,Pts,Opp,MOV,ATS Margin,Combined
11/12/22,Wake Forest,Away,4.5,W,79,36,34,2,6.5,70
11/5/22,Virginia,Away,-7,L,61.5,31,28,3,-4,59
10/15/22,Duke,Away,-7,L,70,38,35,3,-4,73
10/8/22,Miami (FL),Away,4,W,67.5,27,24,3,7,51
11/26/21,NC State,Away,5,W,61.5,30,34,-4,1,64
11/11/21,Pittsburgh,Away,6.5,L,72,23,30,-7,-0.5,53
10/30/21,Notre Dame,Away,3.5,L,62.5,34,44,-10,-6.5,78
9/3/21,VA Tech,Away,-5.5,L,63.5,10,17,-7,-12.5,27
12/12/20,Miami (FL),Away,3,W,72,62,26,36,39,88
11/7/20,Duke,Away,-11.5,W,63.5,56,24,32,20.5,80
10/31/20,Virginia,Away,-8,L,61,41,44,-3,-11,85
10/17/20,Florida St,Away,-13.5,L,64.5,28,31,-3,-16.5,59
10/3/20,Boston Col,Away,-14.5,L,52,26,22,4,-10.5,48
11/30/19,NC State,Away,-11,W,57.5,41,10,31,20,51
11/14/19,Pittsburgh,Away,4,L,48.5,27,34,-7,-3,61
10/19/19,VA Tech,Away,-4.5,L,57,41,43,-2,-6.5,84
10/5/19,GA Tech,Away,-10,W,47,38,22,16,6,60
9/13/19,Wake Forest,Away,3,L,65,18,24,-6,-3,42