"","team_name","conf","f_plus_rk","f_plus","f_plus_ptile","fpi_rk","fpi","fpi_ptile"
"1","Ohio State (5-1)","Big Ten",1,2.29,1,2,26.9,0.992481203007519
"2","Texas (6-0)","SEC",2,2.23,0.992481203007519,1,29.7,1
"3","Oregon (6-0)","Big Ten",3,1.99,0.984962406015038,8,19.2,0.947368421052632
"4","Georgia (5-1)","SEC",4,1.93,0.977443609022556,4,22.5,0.977443609022556
"5","Alabama (5-1)","SEC",5,1.83,0.969924812030075,3,23.7,0.984962406015038
"6","Ole Miss (5-2)","SEC",6,1.78,0.962406015037594,5,21.6,0.969924812030075
"7","Penn State (6-0)","Big Ten",7,1.68,0.954887218045113,9,18.3,0.93984962406015
"8","Notre Dame (5-1)","Independents",8,1.54,0.947368421052632,6,20.9,0.962406015037594
"9","Tennessee (5-1)","SEC",9,1.5,0.93984962406015,7,20.2,0.954887218045113
"10","Miami (6-0)","ACC",10,1.43,0.932330827067669,10,17.7,0.932330827067669
"11","Clemson (5-1)","ACC",11,1.42,0.924812030075188,11,16.8,0.924812030075188
"12","LSU (5-1)","SEC",12,1.41,0.917293233082707,14,14.5,0.902255639097744
"13","Iowa State (6-0)","Big 12",13,1.23,0.909774436090226,17,13.2,0.879699248120301
"14","Texas A&M (5-1)","SEC",14,1.22,0.902255639097744,12,15.6,0.917293233082707
"15","Kansas State (5-1)","Big 12",15,1.15,0.894736842105263,21,11.8,0.849624060150376
"16","USC (3-3)","Big Ten",16,1.13,0.887218045112782,13,14.8,0.909774436090226
"17","Michigan (4-2)","Big Ten",17,1.1,0.879699248120301,33,7.7,0.759398496240602
"18","Missouri (5-1)","SEC",18,1.06,0.864661654135338,19,12.7,0.864661654135338
"19","Iowa (4-2)","Big Ten",19,1.06,0.864661654135338,23,11,0.834586466165414
"20","SMU (5-1)","ACC",20,1.04,0.857142857142857,18,12.8,0.87218045112782
"21","Indiana (6-0)","Big Ten",21,1.02,0.849624060150376,15,14.1,0.894736842105263
"22","Louisville (4-2)","ACC",22,0.98,0.842105263157895,16,14,0.887218045112782
"23","BYU (6-0)","Big 12",23,0.97,0.834586466165414,29,8.4,0.789473684210526
"24","Oklahoma (4-2)","SEC",24,0.96,0.827067669172932,20,11.9,0.857142857142857
"25","Kentucky (3-3)","SEC",25,0.9,0.81203007518797,32,7.8,0.766917293233083
"26","Boise State (5-1)","Mountain West",26,0.9,0.81203007518797,22,11.6,0.842105263157895
"27","Wisconsin (4-2)","Big Ten",27,0.86,0.804511278195489,28,8.6,0.796992481203007
"28","Washington (4-3)","Big Ten",28,0.85,0.796992481203007,40,6.5,0.699248120300752
"29","Nebraska (5-1)","Big Ten",29,0.82,0.789473684210526,43,6.4,0.68421052631579
"30","Florida (3-3)","SEC",30,0.75,0.781954887218045,27,8.7,0.804511278195489
"31","South Carolina (3-3)","SEC",31,0.73,0.774436090225564,26,9.2,0.81203007518797
"32","James Madison (5-1)","Sun Belt",32,0.69,0.766917293233083,37,7,0.729323308270677
"33","Auburn (2-4)","SEC",33,0.68,0.759398496240602,34,7.6,0.744360902255639
"34","Arkansas (4-2)","SEC",34,0.62,0.75187969924812,25,9.6,0.819548872180451
"35","Utah (4-2)","Big 12",35,0.61,0.736842105263158,44,6,0.676691729323308
"36","Virginia Tech (3-3)","ACC",36,0.61,0.736842105263158,31,7.8,0.766917293233083
"37","Minnesota (4-3)","Big Ten",37,0.6,0.729323308270677,50,5,0.62406015037594
"38","Pittsburgh (6-0)","ACC",38,0.59,0.721804511278195,36,7.4,0.736842105263158
"39","Texas Tech (5-1)","Big 12",39,0.58,0.706766917293233,46,5.7,0.661654135338346
"40","Army (6-0)","American",40,0.58,0.706766917293233,51,5,0.62406015037594
"41","Cincinnati (4-2)","Big 12",41,0.54,0.699248120300752,39,6.6,0.714285714285714
"42","Arizona State (5-1)","Big 12",42,0.52,0.691729323308271,45,5.9,0.669172932330827
"43","California (3-3)","ACC",43,0.5,0.68421052631579,41,6.5,0.699248120300752
"44","Washington State (5-1)","Pac-2",44,0.49,0.669172932330827,54,4.3,0.601503759398496
"45","Georgia Tech (5-2)","ACC",45,0.49,0.669172932330827,42,6.4,0.68421052631579
"46","West Virginia (3-3)","Big 12",46,0.48,0.661654135338346,38,6.7,0.721804511278195
"47","UCF (3-3)","Big 12",47,0.41,0.654135338345865,47,5.3,0.646616541353383
"48","Duke (5-1)","ACC",48,0.4,0.646616541353383,63,1.5,0.533834586466165
"49","Maryland (3-3)","Big Ten",49,0.39,0.639097744360902,53,4.3,0.601503759398496
"50","Tulane (4-2)","American",50,0.38,0.631578947368421,24,10.1,0.827067669172932
"51","Colorado (4-2)","Big 12",51,0.36,0.616541353383459,30,7.9,0.781954887218045
"52","Oklahoma State (3-3)","Big 12",52,0.36,0.616541353383459,48,5.3,0.646616541353383
"53","Arizona (3-3)","Big 12",53,0.35,0.601503759398496,58,2.3,0.571428571428571
"54","TCU (3-3)","Big 12",54,0.35,0.601503759398496,56,3.6,0.586466165413534
"55","Illinois (5-1)","Big Ten",55,0.34,0.593984962406015,57,3.2,0.578947368421053
"56","UNLV (5-1)","Mountain West",56,0.29,0.56390977443609,49,5.1,0.639097744360902
"57","North Carolina (3-4)","ACC",57,0.29,0.56390977443609,68,0.5,0.496240601503759
"58","Memphis (5-1)","American",58,0.29,0.56390977443609,62,1.8,0.541353383458647
"59","Virginia (4-2)","ACC",59,0.29,0.56390977443609,65,1.2,0.511278195488722
"60","Vanderbilt (4-2)","SEC",60,0.28,0.556390977443609,35,7.6,0.744360902255639
"61","Rutgers (4-2)","Big Ten",61,0.27,0.548872180451128,64,1.4,0.526315789473684
"62","Kansas (1-5)","Big 12",62,0.25,0.541353383458647,52,4.6,0.616541353383459
"63","Oregon State (4-2)","Pac-2",63,0.24,0.526315789473684,70,-0.6,0.473684210526316
"64","Boston College (4-2)","ACC",64,0.24,0.526315789473684,55,4,0.593984962406015
"65","Syracuse (5-1)","ACC",65,0.23,0.518796992481203,60,2,0.556390977443609
"66","Baylor (2-4)","Big 12",66,0.22,0.511278195488722,61,1.8,0.541353383458647
"67","Navy (5-0)","American",67,0.2,0.496240601503759,71,-0.6,0.473684210526316
"68","Texas State (4-2)","Sun Belt",68,0.2,0.496240601503759,66,1.2,0.511278195488722
"69","Florida State (1-5)","ACC",69,0.18,0.488721804511278,67,0.8,0.503759398496241
"70","Northwestern (3-3)","Big Ten",70,0.1,0.481203007518797,72,-0.7,0.466165413533835
"71","Louisiana (5-1)","Sun Belt",71,0.04,0.473684210526316,77,-2.7,0.428571428571429
"72","NC State (3-4)","ACC",72,-0.04,0.466165413533835,85,-3.9,0.368421052631579
"73","Liberty (5-0)","CUSA",73,-0.13,0.458646616541353,97,-7.3,0.278195488721804
"74","Michigan State (3-3)","Big Ten",74,-0.14,0.451127819548872,69,-0.1,0.488721804511278
"75","UCLA (1-5)","Big Ten",75,-0.16,0.443609022556391,74,-1.3,0.451127819548872
"76","Mississippi State (1-5)","SEC",76,-0.2,0.421052631578947,59,2,0.556390977443609
"77","Houston (2-4)","Big 12",77,-0.2,0.421052631578947,78,-2.8,0.421052631578947
"78","Wake Forest (2-4)","ACC",78,-0.2,0.421052631578947,94,-5.6,0.300751879699248
"79","Western Kentucky (4-2)","CUSA",79,-0.21,0.413533834586466,92,-5.5,0.31578947368421
"80","Fresno State (3-3)","Mountain West",80,-0.3,0.406015037593985,82,-3.4,0.390977443609023
"81","North Texas (5-1)","American",81,-0.33,0.398496240601504,88,-4.6,0.345864661654135
"82","San Jose State (4-2)","Mountain West",82,-0.34,0.390977443609023,84,-3.8,0.37593984962406
"83","UConn (4-2)","Independents",83,-0.35,0.383458646616541,73,-1.1,0.458646616541353
"84","Toledo (4-2)","MAC",84,-0.36,0.37593984962406,79,-2.9,0.413533834586466
"85","Coastal Carolina (4-2)","Sun Belt",85,-0.37,0.368421052631579,89,-4.9,0.330827067669173
"86","Marshall (3-3)","Sun Belt",86,-0.42,0.353383458646617,76,-2.2,0.43609022556391
"87","South Alabama (2-4)","Sun Belt",87,-0.42,0.353383458646617,75,-1.7,0.443609022556391
"88","Stanford (2-4)","ACC",88,-0.46,0.345864661654135,91,-5.1,0.323308270676692
"89","Georgia Southern (4-2)","Sun Belt",89,-0.49,0.330827067669173,81,-3.3,0.398496240601504
"90","Northern Illinois (4-2)","MAC",90,-0.49,0.330827067669173,80,-3.1,0.406015037593985
"91","Purdue (1-5)","Big Ten",91,-0.52,0.323308270676692,102,-9.7,0.240601503759398
"92","Jacksonville State (3-3)","CUSA",92,-0.55,0.31578947368421,83,-3.8,0.37593984962406
"93","Sam Houston State (5-1)","CUSA",93,-0.56,0.308270676691729,87,-4.6,0.345864661654135
"94","Troy (1-5)","Sun Belt",94,-0.63,0.300751879699248,100,-9.1,0.255639097744361
"95","Bowling Green (2-4)","MAC",95,-0.65,0.293233082706767,90,-4.9,0.330827067669173
"96","Miami (OH) (2-4)","MAC",96,-0.67,0.285714285714286,86,-4.3,0.360902255639098
"97","Nevada (3-4)","Mountain West",97,-0.69,0.278195488721804,93,-5.6,0.300751879699248
"98","Louisiana Monroe (5-1)","Sun Belt",98,-0.7,0.270676691729323,98,-8,0.270676691729323
"99","Old Dominion (2-4)","Sun Belt",99,-0.71,0.255639097744361,95,-6.1,0.293233082706767
"100","South Florida (2-4)","American",100,-0.71,0.255639097744361,96,-7.2,0.285714285714286
"101","Ohio (4-2)","MAC",101,-0.75,0.240601503759398,104,-10,0.225563909774436
"102","Colorado State (3-3)","Mountain West",102,-0.75,0.240601503759398,107,-10.3,0.203007518796992
"103","Florida Atlantic (2-4)","American",103,-0.82,0.233082706766917,99,-9,0.263157894736842
"104","East Carolina (3-3)","American",104,-0.84,0.225563909774436,106,-10.1,0.210526315789474
"105","San Diego State (3-3)","Mountain West",105,-0.87,0.218045112781955,113,-11.6,0.157894736842105
"106","Appalachian State (2-4)","Sun Belt",106,-0.89,0.210526315789474,101,-9.4,0.24812030075188
"107","Buffalo (4-2)","MAC",107,-0.9,0.203007518796992,108,-10.7,0.195488721804511
"108","UTSA (2-4)","American",108,-0.93,0.195488721804511,103,-9.8,0.233082706766917
"109","Georgia State (2-3)","Sun Belt",109,-0.94,0.18796992481203,105,-10.1,0.210526315789474
"110","Hawaii (2-4)","Mountain West",110,-0.97,0.180451127819549,111,-11.3,0.172932330827068
"111","Florida International (2-4)","CUSA",111,-1.06,0.172932330827068,114,-11.7,0.150375939849624
"112","Eastern Michigan (4-2)","MAC",112,-1.1,0.165413533834586,110,-10.9,0.180451127819549
"113","Louisiana Tech (2-3)","CUSA",113,-1.12,0.157894736842105,117,-12,0.12781954887218
"114","Rice (2-4)","American",114,-1.14,0.150375939849624,109,-10.8,0.18796992481203
"115","Charlotte (3-3)","American",115,-1.15,0.135338345864662,116,-11.9,0.135338345864662
"116","Western Michigan (3-3)","MAC",116,-1.15,0.135338345864662,112,-11.5,0.165413533834586
"117","Wyoming (1-5)","Mountain West",117,-1.16,0.120300751879699,121,-16,0.0977443609022556
"118","New Mexico (2-4)","Mountain West",118,-1.16,0.120300751879699,118,-12.6,0.120300751879699
"119","Air Force (1-5)","Mountain West",119,-1.19,0.112781954887218,123,-16.4,0.0827067669172932
"120","Arkansas State (3-3)","Sun Belt",120,-1.24,0.105263157894737,115,-11.8,0.142857142857143
"121","Utah State (1-5)","Mountain West",121,-1.29,0.0977443609022556,120,-15.9,0.105263157894737
"122","Central Michigan (3-3)","MAC",122,-1.3,0.0902255639097744,119,-13.1,0.112781954887218
"123","Temple (1-5)","American",123,-1.38,0.0827067669172932,124,-17.5,0.075187969924812
"124","Tulsa (2-4)","American",124,-1.42,0.075187969924812,125,-17.6,0.0601503759398496
"125","UAB (1-5)","American",125,-1.48,0.0676691729323308,122,-16.2,0.0902255639097744
"126","Southern Mississippi (1-5)","Sun Belt",126,-1.61,0.0601503759398496,126,-17.6,0.0601503759398496
"127","UMass (1-6)","Independents",127,-1.64,0.0526315789473684,128,-19.3,0.0451127819548872
"128","Ball State (2-4)","MAC",128,-1.72,0.0451127819548872,131,-21.2,0.0225563909774436
"129","New Mexico State (1-5)","CUSA",129,-1.74,0.037593984962406,132,-23.2,0.0150375939849624
"130","Middle Tennessee (1-5)","CUSA",130,-1.76,0.0300751879699248,129,-19.4,0.037593984962406
"131","UTEP (0-6)","CUSA",131,-1.77,0.0225563909774436,130,-20.3,0.0300751879699248
"132","Akron (1-6)","MAC",132,-1.85,0.0150375939849624,127,-18.8,0.0526315789473684
"133","Kennesaw State (0-5)","CUSA",133,-2.1,0.0075187969924812,133,-25.3,0.0075187969924812
"134","Kent State (0-6)","MAC",134,-2.2,0,134,-28.5,0
