Rank,Team,Sweet 16,Round of 32,Round of 64,First Four,Missed Tournament
1,Kansas,,,1,,
2,Alabama,1,1,1,,
3,UConn,,1,1,,
4,Houston,1,1,1,,
5,Iowa State,,1,1,,
6,Gonzaga,,1,1,,
7,Duke,1,1,1,,
8,Baylor,,1,1,,
9,North Carolina,,,1,1,
10,Arizona,1,1,1,,
11,Auburn,1,1,1,,
12,Tennessee,1,1,1,,
13,Texas A&M,,1,1,,
14,Purdue,1,1,1,,
15,Creighton,,1,1,,
16,Arkansas,1,1,1,,
17,Indiana,,,,,0
18,Marquette,,,1,,
19,Texas,,,,1,
20,Cincinnati,,,,,0
21,Florida,1,1,1,,
22,UCLA,,1,1,,
23,Kentucky,1,1,1,,
24,Ole Miss,1,1,1,,
25,Rutgers,,,,,0