Date,Team,Opponent,Week,Location,Spread,Score,Result,fscore,MOV
9/20/25,California,San Diego St,4,Away,-14,0-34,"L,","L, 0-34",-34
9/12/25,UCLA,New Mexico,3,Home,-15.5,10-35,"L,","L, 10-35",-25
10/11/25,Old Dominion,Marshall,7,Away,-14.5,24-48,"L,","L, 24-48",-24
10/14/25,Western Kentucky,Florida Intl,8,Home,-10,6-25,"L,","L, 6-25",-19
9/20/25,South Alabama,Coastal Carolina,4,Home,-15,20-38,"L,","L, 20-38",-18
9/20/25,Wisconsin,Maryland,4,Home,-10.5,10-27,"L,","L, 10-27",-17
8/30/25,Alabama,Florida St,1,Away,-13.5,17-31,"L,","L, 17-31",-14
9/20/25,Clemson,Syracuse,4,Home,-17.5,21-34,"L,","L, 21-34",-13
9/13/25,Boston College,Stanford,3,Away,-14,20-30,"L,","L, 20-30",-10
10/18/25,App State,Coastal Carolina,8,Home,-10.5,37-45,"L,","L, 37-45",-8
10/18/25,Memphis,UAB,8,Away,-24.5,24-31,"L,","L, 24-31",-7
9/19/25,Oklahoma St,Tulsa,4,Home,-10,12-19,"L,","L, 12-19",-7
10/18/25,Florida St,Stanford,8,Away,-17.5,13-20,"L,","L, 13-20",-7
10/4/25,Ohio,Ball St,6,Away,-14,14-20,"L,","L, 14-20",-6
10/11/25,Toledo,Bowling Green,7,Away,-11,23-28,"L,","L, 23-28",-5
10/4/25,Penn St,UCLA,6,Away,-25.5,37-42,"L,","L, 37-42",-5
10/11/25,Florida St,Pittsburgh,7,Home,-10.5,31-34,"L,","L, 31-34",-3
10/17/25,Miami,Louisville,8,Home,-10,21-24,"L,","L, 21-24",-3
9/6/25,Kansas St,Army,2,Home,-17,21-24,"L,","L, 21-24",-3
9/6/25,Florida,South Florida,2,Home,-18,16-18,"L,","L, 16-18",-2
8/29/25,San Jose St,Central Michigan,1,Home,-14,14-16,"L,","L, 14-16",-2
8/30/25,Louisiana,Rice,1,Home,-10,12-14,"L,","L, 12-14",-2
9/20/25,Toledo,Western Michigan,4,Away,-13,13-14,"L,","L, 13-14",-1
10/11/25,Penn St,Northwestern,7,Home,-20.5,21-22,"L,","L, 21-22",-1
10/4/25,Texas St,Arkansas St,6,Away,-13.5,30-31,"L,","L, 30-31",-1